date,latest_flag,latest_purple,peak_flag,peak_severity,purple_any,n_updates,first_time,last_time,latest_label,peak_label,year,month_num,month,dow
2024-08-19,Single Red,False,Single Red,3.0,False,1,10:00,10:00,Single Red,Single Red,2024,8,Aug,Monday
2024-08-20,Yellow,False,Yellow,2.0,False,1,10:03,10:03,Yellow,Yellow,2024,8,Aug,Tuesday
2024-08-21,Yellow,False,Yellow,2.0,False,1,10:00,10:00,Yellow,Yellow,2024,8,Aug,Wednesday
2024-08-22,Yellow,False,Yellow,2.0,False,1,10:00,10:00,Yellow,Yellow,2024,8,Aug,Thursday
2024-08-23,Yellow,False,Yellow,2.0,False,1,10:00,10:00,Yellow,Yellow,2024,8,Aug,Friday
2024-08-24,Yellow,False,Yellow,2.0,False,1,10:00,10:00,Yellow,Yellow,2024,8,Aug,Saturday
2024-08-25,Yellow,False,Yellow,2.0,False,1,10:00,10:00,Yellow,Yellow,2024,8,Aug,Sunday
2024-08-26,Yellow,False,Yellow,2.0,False,1,11:19,11:19,Yellow,Yellow,2024,8,Aug,Monday
2024-08-27,Yellow,False,Yellow,2.0,False,1,10:07,10:07,Yellow,Yellow,2024,8,Aug,Tuesday
2024-08-28,Yellow,False,Yellow,2.0,False,1,10:01,10:01,Yellow,Yellow,2024,8,Aug,Wednesday
2024-08-29,Yellow,False,Yellow,2.0,False,1,10:00,10:00,Yellow,Yellow,2024,8,Aug,Thursday
2024-08-30,Single Red,False,Single Red,3.0,False,2,10:00,13:21,Single Red,Single Red,2024,8,Aug,Friday
2024-08-31,Single Red,False,Single Red,3.0,False,1,10:00,10:00,Single Red,Single Red,2024,8,Aug,Saturday
2024-09-01,Single Red,True,Single Red,3.0,True,2,10:00,16:09,Single Red + Purple,Single Red + Purple,2024,9,Sep,Sunday
2024-09-02,Yellow,True,Yellow,2.0,True,1,10:00,10:00,Yellow + Purple,Yellow + Purple,2024,9,Sep,Monday
2024-09-03,Yellow,True,Yellow,2.0,True,1,10:01,10:01,Yellow + Purple,Yellow + Purple,2024,9,Sep,Tuesday
2024-09-04,Yellow,True,Yellow,2.0,True,1,10:18,10:18,Yellow + Purple,Yellow + Purple,2024,9,Sep,Wednesday
2024-09-05,Yellow,True,Yellow,2.0,True,1,10:08,10:08,Yellow + Purple,Yellow + Purple,2024,9,Sep,Thursday
2024-09-06,Yellow,True,Yellow,2.0,True,1,10:18,10:18,Yellow + Purple,Yellow + Purple,2024,9,Sep,Friday
2024-09-07,Yellow,True,Yellow,2.0,True,1,10:32,10:32,Yellow + Purple,Yellow + Purple,2024,9,Sep,Saturday
2024-09-08,Yellow,True,Yellow,2.0,True,1,10:00,10:00,Yellow + Purple,Yellow + Purple,2024,9,Sep,Sunday
2024-09-09,Yellow,True,Yellow,2.0,True,1,10:01,10:01,Yellow + Purple,Yellow + Purple,2024,9,Sep,Monday
2024-09-10,Single Red,True,Single Red,3.0,True,1,10:05,10:05,Single Red + Purple,Single Red + Purple,2024,9,Sep,Tuesday
2024-09-11,Single Red,True,Single Red,3.0,True,1,10:00,10:00,Single Red + Purple,Single Red + Purple,2024,9,Sep,Wednesday
2024-09-12,Double Red,False,Double Red,4.0,False,1,10:00,10:00,Double Red,Double Red,2024,9,Sep,Thursday
