date,nearest_storm_id,nearest_storm_name,nearest_storm_status,nearest_storm_category,tc_min_distance_mi,tc_max_wind_kt_within_500mi,tc_active_storms_within_500mi,tc_within_50mi,tc_within_100mi,tc_within_200mi,tc_within_300mi,tc_within_500mi
1851-08-21,AL041851,UNNAMED,HU,Category 1,357.73,80.0,1,False,False,False,False,True
1851-08-22,AL041851,UNNAMED,HU,Category 3,193.97,100.0,1,False,False,True,True,True
1851-08-23,AL041851,UNNAMED,HU,Category 3,2.49,100.0,1,True,True,True,True,True
1851-08-24,AL041851,UNNAMED,HU,Category 1,140.47,70.0,1,False,False,True,True,True
1851-10-15,AL061851,UNNAMED,TS,Tropical Storm,475.45,40.0,1,False,False,False,False,True
1851-10-16,AL061851,UNNAMED,TS,Tropical Storm,481.48,50.0,1,False,False,False,False,True
1852-08-22,AL011852,UNNAMED,HU,Category 2,408.02,90.0,1,False,False,False,False,True
1852-08-23,AL011852,UNNAMED,HU,Category 3,237.21,100.0,1,False,False,False,True,True
1852-08-24,AL011852,UNNAMED,HU,Category 3,163.21,100.0,1,False,False,True,True,True
1852-08-25,AL011852,UNNAMED,HU,Category 3,164.4,100.0,1,False,False,True,True,True
1852-08-26,AL011852,UNNAMED,TS,Tropical Storm,152.26,100.0,1,False,False,True,True,True
1852-08-27,AL011852,UNNAMED,TS,Tropical Storm,154.01,40.0,1,False,False,True,True,True
1852-09-08,AL031852,UNNAMED,HU,Category 1,383.34,70.0,1,False,False,False,False,True
1852-09-09,AL031852,UNNAMED,HU,Category 1,251.12,70.0,1,False,False,False,True,True
1852-09-10,AL031852,UNNAMED,HU,Category 1,185.34,70.0,1,False,False,True,True,True
1852-09-11,AL031852,UNNAMED,HU,Category 1,180.95,70.0,1,False,False,True,True,True
1852-09-12,AL031852,UNNAMED,TS,Tropical Storm,254.89,60.0,1,False,False,False,True,True
1852-10-08,AL051852,UNNAMED,HU,Category 2,315.31,90.0,1,False,False,False,False,True
1852-10-09,AL051852,UNNAMED,HU,Category 2,81.04,90.0,1,False,True,True,True,True
1852-10-10,AL051852,UNNAMED,TS,Tropical Storm,208.62,60.0,1,False,False,False,True,True
1853-10-18,AL081853,UNNAMED,HU,Category 1,473.66,70.0,1,False,False,False,False,True
1853-10-19,AL081853,UNNAMED,HU,Category 1,354.42,80.0,1,False,False,False,False,True
1853-10-20,AL081853,UNNAMED,HU,Category 2,289.79,90.0,1,False,False,False,True,True
1853-10-21,AL081853,UNNAMED,HU,Category 2,292.43,90.0,1,False,False,False,True,True
1853-10-22,AL081853,UNNAMED,HU,Category 1,457.11,80.0,1,False,False,False,False,True
1854-09-07,AL031854,UNNAMED,HU,Category 3,327.35,110.0,1,False,False,False,False,True
1854-09-08,AL031854,UNNAMED,HU,Category 1,292.41,110.0,1,False,False,False,True,True
1854-09-09,AL031854,UNNAMED,HU,Category 1,298.75,70.0,1,False,False,False,True,True
1854-09-17,AL041854,UNNAMED,HU,Category 2,492.99,90.0,1,False,False,False,False,True
1855-09-14,AL051855,UNNAMED,HU,Category 1,312.92,70.0,1,False,False,False,False,True
1855-09-15,AL051855,UNNAMED,HU,Category 3,235.18,110.0,1,False,False,False,True,True
1855-09-16,AL051855,UNNAMED,HU,Category 1,209.4,110.0,1,False,False,False,True,True
1855-09-17,AL051855,UNNAMED,TS,Tropical Storm,249.68,40.0,1,False,False,False,True,True
1856-08-08,AL011856,UNNAMED,HU,Category 1,371.4,70.0,1,False,False,False,False,True
1856-08-09,AL011856,UNNAMED,HU,Category 3,249.78,110.0,1,False,False,False,True,True
1856-08-10,AL011856,UNNAMED,HU,Category 4,279.24,130.0,1,False,False,False,True,True
1856-08-11,AL011856,UNNAMED,TS,Tropical Storm,353.45,80.0,1,False,False,False,False,True
1856-08-12,AL011856,UNNAMED,TS,Tropical Storm,323.37,40.0,1,False,False,False,False,True
1856-08-28,AL051856,UNNAMED,HU,Category 2,431.85,90.0,1,False,False,False,False,True
1856-08-29,AL051856,UNNAMED,HU,Category 3,350.45,100.0,1,False,False,False,False,True
1856-08-30,AL051856,UNNAMED,HU,Category 2,99.5,100.0,1,False,True,True,True,True
1856-08-31,AL051856,UNNAMED,HU,Category 2,11.4,90.0,1,True,True,True,True,True
1856-09-01,AL051856,UNNAMED,TS,Tropical Storm,447.64,50.0,1,False,False,False,False,True
1857-09-11,AL021857,UNNAMED,HU,Category 2,465.74,90.0,1,False,False,False,False,True
1857-09-12,AL021857,UNNAMED,HU,Category 2,468.14,90.0,1,False,False,False,False,True
1858-09-13,AL031858,UNNAMED,TS,Tropical Storm,347.23,60.0,1,False,False,False,False,True
1858-09-14,AL031858,UNNAMED,TS,Tropical Storm,253.06,60.0,1,False,False,False,True,True
1858-09-15,AL031858,UNNAMED,TS,Tropical Storm,366.63,80.0,1,False,False,False,False,True
1859-09-14,AL051859,UNNAMED,HU,Category 1,246.06,70.0,1,False,False,False,True,True
1859-09-15,AL051859,UNNAMED,HU,Category 1,142.02,70.0,1,False,False,True,True,True
1859-09-16,AL051859,UNNAMED,TS,Tropical Storm,124.96,50.0,1,False,False,True,True,True
1859-10-17,AL071859,UNNAMED,TS,Tropical Storm,353.75,60.0,1,False,False,False,False,True
1859-10-18,AL071859,UNNAMED,TS,Tropical Storm,312.39,40.0,1,False,False,False,False,True
1859-10-27,AL081859,UNNAMED,HU,Category 1,410.46,80.0,1,False,False,False,False,True
1859-10-28,AL081859,UNNAMED,HU,Category 1,240.76,80.0,1,False,False,False,True,True
1860-08-07,AL011860,UNNAMED,TS,Tropical Storm,182.57,40.0,1,False,False,True,True,True
1860-08-08,AL011860,UNNAMED,TS,Tropical Storm,169.56,60.0,1,False,False,True,True,True
1860-08-09,AL011860,UNNAMED,TS,Tropical Storm,184.62,80.0,1,False,False,True,True,True
1860-08-10,AL011860,UNNAMED,HU,Category 1,252.16,100.0,1,False,False,False,True,True
1860-08-11,AL011860,UNNAMED,HU,Category 3,245.5,110.0,1,False,False,False,True,True
1860-08-12,AL011860,UNNAMED,TS,Tropical Storm,88.43,100.0,1,False,True,True,True,True
1860-08-13,AL011860,UNNAMED,TS,Tropical Storm,116.28,40.0,1,False,False,True,True,True
1860-08-14,AL011860,UNNAMED,TS,Tropical Storm,330.06,50.0,1,False,False,False,False,True
1860-09-10,AL041860,UNNAMED,HU,Category 2,366.73,90.0,1,False,False,False,False,True
1860-09-11,AL041860,UNNAMED,HU,Category 2,341.83,90.0,1,False,False,False,False,True
1860-09-12,AL041860,UNNAMED,HU,Category 2,323.64,90.0,1,False,False,False,False,True
1860-09-13,AL041860,UNNAMED,HU,Category 2,321.0,90.0,1,False,False,False,False,True
1860-09-14,AL041860,UNNAMED,HU,Category 2,239.11,90.0,1,False,False,False,True,True
1860-09-15,AL041860,UNNAMED,TS,Tropical Storm,205.67,90.0,1,False,False,False,True,True
1860-09-16,AL041860,UNNAMED,TS,Tropical Storm,239.4,40.0,1,False,False,False,True,True
1860-10-01,AL061860,UNNAMED,HU,Category 1,444.65,80.0,1,False,False,False,False,True
1860-10-02,AL061860,UNNAMED,TS,Tropical Storm,316.08,90.0,1,False,False,False,False,True
1860-10-03,AL061860,UNNAMED,TS,Tropical Storm,319.38,50.0,1,False,False,False,False,True
