storm_id,storm_name,season,first_track_utc,last_track_utc,closest_approach_utc,closest_approach_local,closest_distance_mi,status_at_closest,wind_at_closest_kt,category_at_closest,max_wind_within_500mi_kt,n_track_points_within_500mi
AL041851,UNNAMED,1851,1851-08-16T00:00:00+00:00,1851-08-27T18:00:00+00:00,1851-08-23T21:00:00+00:00,1851-08-23T15:09:24-05:50:36,2.49,HU,100,Category 3,100.0,16
AL061851,UNNAMED,1851,1851-10-16T00:00:00+00:00,1851-10-19T18:00:00+00:00,1851-10-16T00:00:00+00:00,1851-10-15T18:09:24-05:50:36,475.45,TS,40,Tropical Storm,50.0,3
AL011852,UNNAMED,1852,1852-08-19T00:00:00+00:00,1852-08-30T00:00:00+00:00,1852-08-27T00:00:00+00:00,1852-08-26T18:09:24-05:50:36,152.26,TS,50,Tropical Storm,100.0,22
AL031852,UNNAMED,1852,1852-09-09T00:00:00+00:00,1852-09-13T18:00:00+00:00,1852-09-11T06:00:00+00:00,1852-09-11T00:09:24-05:50:36,180.95,HU,70,Category 1,70.0,17
AL051852,UNNAMED,1852,1852-10-06T00:00:00+00:00,1852-10-11T18:00:00+00:00,1852-10-09T18:00:00+00:00,1852-10-09T12:09:24-05:50:36,81.04,HU,90,Category 2,90.0,10
AL081853,UNNAMED,1853,1853-10-19T00:00:00+00:00,1853-10-22T06:00:00+00:00,1853-10-21T00:00:00+00:00,1853-10-20T18:09:24-05:50:36,289.79,HU,90,Category 2,90.0,14
AL031854,UNNAMED,1854,1854-09-07T00:00:00+00:00,1854-09-12T18:00:00+00:00,1854-09-09T00:00:00+00:00,1854-09-08T18:09:24-05:50:36,292.41,HU,80,Category 1,110.0,11
AL041854,UNNAMED,1854,1854-09-18T00:00:00+00:00,1854-09-20T06:00:00+00:00,1854-09-18T00:00:00+00:00,1854-09-17T18:09:24-05:50:36,492.99,HU,90,Category 2,90.0,1
AL051855,UNNAMED,1855,1855-09-15T00:00:00+00:00,1855-09-17T06:00:00+00:00,1855-09-16T18:00:00+00:00,1855-09-16T12:09:24-05:50:36,209.4,HU,70,Category 1,110.0,11
AL011856,UNNAMED,1856,1856-08-09T00:00:00+00:00,1856-08-12T06:00:00+00:00,1856-08-09T18:00:00+00:00,1856-08-09T12:09:24-05:50:36,249.78,HU,100,Category 3,130.0,14
AL051856,UNNAMED,1856,1856-08-25T00:00:00+00:00,1856-09-03T18:00:00+00:00,1856-08-31T06:00:00+00:00,1856-08-31T00:09:24-05:50:36,11.4,HU,90,Category 2,100.0,16
AL021857,UNNAMED,1857,1857-09-06T18:00:00+00:00,1857-09-18T06:00:00+00:00,1857-09-11T18:00:00+00:00,1857-09-11T12:09:24-05:50:36,465.74,HU,90,Category 2,90.0,7
AL031858,UNNAMED,1858,1858-09-14T00:00:00+00:00,1858-09-17T06:00:00+00:00,1858-09-14T15:00:00+00:00,1858-09-14T09:09:24-05:50:36,253.06,TS,60,Tropical Storm,80.0,8
AL051859,UNNAMED,1859,1859-09-15T00:00:00+00:00,1859-09-18T18:00:00+00:00,1859-09-16T06:00:00+00:00,1859-09-16T00:09:24-05:50:36,124.96,TS,50,Tropical Storm,70.0,9
AL071859,UNNAMED,1859,1859-10-16T00:00:00+00:00,1859-10-18T06:00:00+00:00,1859-10-18T06:00:00+00:00,1859-10-18T00:09:24-05:50:36,312.39,TS,40,Tropical Storm,60.0,5
AL081859,UNNAMED,1859,1859-10-24T00:00:00+00:00,1859-10-29T18:00:00+00:00,1859-10-28T12:00:00+00:00,1859-10-28T06:09:24-05:50:36,240.76,HU,80,Category 1,80.0,5
AL011860,UNNAMED,1860,1860-08-08T00:00:00+00:00,1860-08-16T06:00:00+00:00,1860-08-13T00:00:00+00:00,1860-08-12T18:09:24-05:50:36,88.43,TS,40,Tropical Storm,110.0,30
AL041860,UNNAMED,1860,1860-09-11T00:00:00+00:00,1860-09-16T06:00:00+00:00,1860-09-16T00:00:00+00:00,1860-09-15T18:09:24-05:50:36,205.67,TS,50,Tropical Storm,90.0,23
AL061860,UNNAMED,1860,1860-09-30T00:00:00+00:00,1860-10-03T18:00:00+00:00,1860-10-03T00:00:00+00:00,1860-10-02T18:09:24-05:50:36,316.08,TS,60,Tropical Storm,90.0,10
