storm_id,storm_name,timestamp_utc,timestamp_local,date,record_identifier,status,lat,lon,max_wind_kt,min_pressure_mb,category,distance_to_pcb_mi
AL041851,UNNAMED,1851-08-21T12:00:00+00:00,1851-08-21T06:09:24-05:50:36,1851-08-21,,HU,23.9,-83.6,70,,Category 1,449.61
AL041851,UNNAMED,1851-08-21T18:00:00+00:00,1851-08-21T12:09:24-05:50:36,1851-08-21,,HU,24.4,-84.3,70,,Category 1,405.18
AL041851,UNNAMED,1851-08-22T00:00:00+00:00,1851-08-21T18:09:24-05:50:36,1851-08-21,,HU,25.0,-84.9,80,,Category 1,357.73
AL041851,UNNAMED,1851-08-22T06:00:00+00:00,1851-08-22T00:09:24-05:50:36,1851-08-22,,HU,25.6,-85.5,80,,Category 1,312.96
AL041851,UNNAMED,1851-08-22T12:00:00+00:00,1851-08-22T06:09:24-05:50:36,1851-08-22,,HU,26.2,-86.0,90,,Category 2,271.69
AL041851,UNNAMED,1851-08-22T18:00:00+00:00,1851-08-22T12:09:24-05:50:36,1851-08-22,,HU,26.8,-86.3,90,,Category 2,232.33
AL041851,UNNAMED,1851-08-23T00:00:00+00:00,1851-08-22T18:09:24-05:50:36,1851-08-22,,HU,27.4,-86.5,100,,Category 3,193.97
AL041851,UNNAMED,1851-08-23T06:00:00+00:00,1851-08-23T00:09:24-05:50:36,1851-08-23,,HU,28.0,-86.6,100,,Category 3,155.94
AL041851,UNNAMED,1851-08-23T12:00:00+00:00,1851-08-23T06:09:24-05:50:36,1851-08-23,,HU,28.5,-86.6,100,,Category 3,123.91
AL041851,UNNAMED,1851-08-23T18:00:00+00:00,1851-08-23T12:09:24-05:50:36,1851-08-23,,HU,29.6,-86.1,100,,Category 3,42.51
AL041851,UNNAMED,1851-08-23T21:00:00+00:00,1851-08-23T15:09:24-05:50:36,1851-08-23,L,HU,30.1,-85.7,100,,Category 3,2.49
AL041851,UNNAMED,1851-08-24T00:00:00+00:00,1851-08-23T18:09:24-05:50:36,1851-08-23,,HU,30.7,-85.1,90,,Category 2,54.66
AL041851,UNNAMED,1851-08-24T06:00:00+00:00,1851-08-24T00:09:24-05:50:36,1851-08-24,,HU,31.6,-84.1,70,,Category 1,140.47
AL041851,UNNAMED,1851-08-24T12:00:00+00:00,1851-08-24T06:09:24-05:50:36,1851-08-24,,TS,32.5,-83.0,60,,Tropical Storm,229.97
AL041851,UNNAMED,1851-08-24T18:00:00+00:00,1851-08-24T12:09:24-05:50:36,1851-08-24,,TS,33.4,-81.4,50,,Tropical Storm,340.38
AL041851,UNNAMED,1851-08-25T00:00:00+00:00,1851-08-24T18:09:24-05:50:36,1851-08-24,,TS,34.0,-80.0,40,,Tropical Storm,429.11
AL061851,UNNAMED,1851-10-16T00:00:00+00:00,1851-10-15T18:09:24-05:50:36,1851-10-15,,TS,28.7,-78.0,40,,Tropical Storm,475.45
AL061851,UNNAMED,1851-10-16T06:00:00+00:00,1851-10-16T00:09:24-05:50:36,1851-10-16,,TS,29.1,-77.8,40,,Tropical Storm,481.48
AL061851,UNNAMED,1851-10-16T12:00:00+00:00,1851-10-16T06:09:24-05:50:36,1851-10-16,,TS,29.5,-77.5,50,,Tropical Storm,495.16
AL011852,UNNAMED,1852-08-22T18:00:00+00:00,1852-08-22T12:09:24-05:50:36,1852-08-22,,HU,24.2,-82.1,90,,Category 2,466.16
AL011852,UNNAMED,1852-08-23T00:00:00+00:00,1852-08-22T18:09:24-05:50:36,1852-08-22,,HU,24.7,-83.1,90,,Category 2,408.02
AL011852,UNNAMED,1852-08-23T06:00:00+00:00,1852-08-23T00:09:24-05:50:36,1852-08-23,,HU,25.2,-83.9,90,,Category 2,358.22
AL011852,UNNAMED,1852-08-23T12:00:00+00:00,1852-08-23T06:09:24-05:50:36,1852-08-23,,HU,25.7,-84.6,90,,Category 2,313.42
AL011852,UNNAMED,1852-08-23T18:00:00+00:00,1852-08-23T12:09:24-05:50:36,1852-08-23,,HU,26.2,-85.3,90,,Category 2,272.45
AL011852,UNNAMED,1852-08-24T00:00:00+00:00,1852-08-23T18:09:24-05:50:36,1852-08-23,,HU,26.7,-86.0,100,,Category 3,237.21
AL011852,UNNAMED,1852-08-24T06:00:00+00:00,1852-08-24T00:09:24-05:50:36,1852-08-24,,HU,27.2,-86.6,100,,Category 3,208.87
AL011852,UNNAMED,1852-08-24T12:00:00+00:00,1852-08-24T06:09:24-05:50:36,1852-08-24,,HU,27.7,-87.1,100,,Category 3,186.91
AL011852,UNNAMED,1852-08-24T18:00:00+00:00,1852-08-24T12:09:24-05:50:36,1852-08-24,,HU,28.2,-87.5,100,,Category 3,170.57
AL011852,UNNAMED,1852-08-25T00:00:00+00:00,1852-08-24T18:09:24-05:50:36,1852-08-24,,HU,28.6,-87.8,100,,Category 3,163.21
AL011852,UNNAMED,1852-08-25T06:00:00+00:00,1852-08-25T00:09:24-05:50:36,1852-08-25,,HU,28.8,-88.0,100,,Category 3,164.4
AL011852,UNNAMED,1852-08-25T12:00:00+00:00,1852-08-25T06:09:24-05:50:36,1852-08-25,,HU,29.1,-88.2,100,,Category 3,164.4
AL011852,UNNAMED,1852-08-25T18:00:00+00:00,1852-08-25T12:09:24-05:50:36,1852-08-25,,HU,29.4,-88.4,100,,Category 3,167.79
AL011852,UNNAMED,1852-08-26T00:00:00+00:00,1852-08-25T18:09:24-05:50:36,1852-08-25,,HU,29.8,-88.6,100,,Category 3,173.25
AL011852,UNNAMED,1852-08-26T06:00:00+00:00,1852-08-26T00:09:24-05:50:36,1852-08-26,L,HU,30.2,-88.6,100,961.0,Category 3,171.52
AL011852,UNNAMED,1852-08-26T12:00:00+00:00,1852-08-26T06:09:24-05:50:36,1852-08-26,,HU,30.6,-88.5,90,,Category 2,168.36
AL011852,UNNAMED,1852-08-26T18:00:00+00:00,1852-08-26T12:09:24-05:50:36,1852-08-26,,HU,31.2,-88.1,70,,Category 1,159.23
AL011852,UNNAMED,1852-08-27T00:00:00+00:00,1852-08-26T18:09:24-05:50:36,1852-08-26,,TS,31.8,-87.4,50,,Tropical Storm,152.26
AL011852,UNNAMED,1852-08-27T06:00:00+00:00,1852-08-27T00:09:24-05:50:36,1852-08-27,,TS,32.3,-86.3,40,,Tropical Storm,154.01
AL011852,UNNAMED,1852-08-27T12:00:00+00:00,1852-08-27T06:09:24-05:50:36,1852-08-27,,TS,32.8,-84.8,40,,Tropical Storm,192.78
AL011852,UNNAMED,1852-08-27T18:00:00+00:00,1852-08-27T12:09:24-05:50:36,1852-08-27,,TS,33.2,-82.8,40,,Tropical Storm,273.52
AL011852,UNNAMED,1852-08-28T00:00:00+00:00,1852-08-27T18:09:24-05:50:36,1852-08-27,,TS,33.5,-80.5,40,,Tropical Storm,385.48
